ТИП1;ТИП2;ТИП3
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;Выберите
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;Дополнительный (для переадр.)
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;Любая
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;Основной
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;Спаренный
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;ETTH
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;FTTx/xPON
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;ISDN
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;SIP-телефон_xDSL
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;SIP-телефон_xPON
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;SIP-телефон
Продажи. Пакет (OTA, ШПД) ;Проверка тех. возможности;xDSL
Продажи. Пакет (OTA,ШПД,IPTV);Выберите;Выберите
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;Выберите
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;Дополнительный (для переадр.)
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;Любая
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;Основной
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;Спаренный
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;FTTx/xPON
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;ISDN
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;SIP-телефон_ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;SIP-телефон_xPON
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;SIP-телефон
Продажи. Пакет (OTA,ШПД,IPTV);Ожидание тех. возможности;xDSL
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;Выберите
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;Дополнительный (для переадр.)
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;Любая
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;Основной
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;Спаренный
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;FTTx/xPON
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;ISDN
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;SIP-телефон_ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;SIP-телефон_xPON
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;SIP-телефон
Продажи. Пакет (OTA,ШПД,IPTV);Подключение услуг;xDSL
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;Выберите
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;Дополнительный (для переадр.)
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;Любая
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;Основной
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;Спаренный
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;FTTx/xPON
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;ISDN
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;SIP-телефон_ETTH
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;SIP-телефон_xPON
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;SIP-телефон
Продажи. Пакет (OTA,ШПД,IPTV);Проверка тех. возможности;xDSL
Продажи. Пакет(Интернет,Антивирус/Род.К);Выберите;Выберите
Продажи. Пакет(Интернет,Антивирус/Род.К);Подключение услуг;Выберите
Продажи. Пакет(Интернет,Антивирус/Род.К);Подключение услуг;Любая
Продажи. Пакет(Интернет,Антивирус/Род.К);Подключение услуг;ETTH
Продажи. Пакет(Интернет,Антивирус/Род.К);Подключение услуг;FTTx/xPON
Продажи. Пакет(Интернет,Антивирус/Род.К);Подключение услуг;xDSL
Продажи. Пакет(Интернет,Антивирус/Род.К);Проверка тех. возможности;Выберите
Продажи. Пакет(Интернет,Антивирус/Род.К);Проверка тех. возможности;Любая
Продажи. Пакет(Интернет,Антивирус/Род.К);Проверка тех. возможности;ETTH
Продажи. Пакет(Интернет,Антивирус/Род.К);Проверка тех. возможности;FTTx/xPON
Продажи. Пакет(Интернет,Антивирус/Род.К);Проверка тех. возможности;xDSL
Продажи. СКУД;Новое подключение;Не определено
Продажи. Счетчики;Новое подключение;Не определено
Продажи. Телефония;Выберите;Выберите
Продажи. Телефония;Ожидание тех.возможности;Выберите
Продажи. Телефония;Ожидание тех.возможности;Дополнительный (для переадр.)
Продажи. Телефония;Ожидание тех.возможности;Основной
Продажи. Телефония;Ожидание тех.возможности;Спаренный
Продажи. Телефония;Ожидание тех.возможности;ISDN
Продажи. Телефония;Ожидание тех.возможности;SIP-телефон_ETTH
Продажи. Телефония;Ожидание тех.возможности;SIP-телефон_xDSL
Продажи. Телефония;Ожидание тех.возможности;SIP-телефон_xPON
Продажи. Телефония;Подключение услуги;Виртуальный номер
Продажи. Телефония;Подключение услуги;Выберите
Продажи. Телефония;Подключение услуги;Дополнительный (для переадр.)
Продажи. Телефония;Подключение услуги;Основной
Продажи. Телефония;Подключение услуги;Спаренный
Продажи. Телефония;Подключение услуги;ISDN
Продажи. Телефония;Подключение услуги;SIP-телефон_ETTH
Продажи. Телефония;Подключение услуги;SIP-телефон_xDSL
Продажи. Телефония;Подключение услуги;SIP-телефон_xPON
Продажи. Телефония;Проверка тех. возможности;Виртуальный номер
Продажи. Телефония;Проверка тех. возможности;Выберите
Продажи. Телефония;Проверка тех. возможности;Дополнительный (для переадр.)
Продажи. Телефония;Проверка тех. возможности;Основной
Продажи. Телефония;Проверка тех. возможности;Спаренный
Продажи. Телефония;Проверка тех. возможности;ISDN
Продажи. Телефония;Проверка тех. возможности;SIP-телефон_ETTH
Продажи. Телефония;Проверка тех. возможности;SIP-телефон_xDSL
Продажи. Телефония;Проверка тех. возможности;SIP-телефон_xPON
Продажи. УСС Интернет по проводу;Создание заявки на подключение;Не определено
Продажи. УСС Интернет по Wi-fi;Создание учетной записи;Не определено
Продажи. Шлагбаум;Новое подключение;Не определено
Продажи. IPTV;Выберите;Выберите
Продажи. IPTV;Ожидание тех. возможности;Выберите
Продажи. IPTV;Ожидание тех. возможности;Любая
Продажи. IPTV;Ожидание тех. возможности;ETTH
Продажи. IPTV;Ожидание тех. возможности;FTTx/xPON
Продажи. IPTV;Ожидание тех. возможности;xDSL
Продажи. IPTV;Подключение услуги;Выберите
Продажи. IPTV;Подключение услуги;Любая
Продажи. IPTV;Подключение услуги;ETTH
Продажи. IPTV;Подключение услуги;FTTx/xPON
Продажи. IPTV;Подключение услуги;xDSL
Продажи. IPTV;Проверка тех. возможности;Выберите
Продажи. IPTV;Проверка тех. возможности;Любая
Продажи. IPTV;Проверка тех. возможности;ETTH
Продажи. IPTV;Проверка тех. возможности;FTTx/xPON
Продажи. IPTV;Проверка тех. возможности;xDSL
Продажи.Прочие услуги.Вирт.ЦОД;Подключение услуги;Любая
Продажи.Прочие услуги.Вирт.ЦОД;Проверка тех. возможности;Любая
Продажи.Прочие услуги.ИСС;Подключение услуги;Любая
Продажи.Прочие услуги.ИСС;Проверка тех. возможности;Любая
Продажи.Прочие услуги.Обл.АТС.Saas;Подключение услуги;Любая
Продажи.Прочие услуги.Обл.АТС.Saas;Проверка тех. возможности;Любая
Продажи.Прочие услуги.УПАТС;Подключение услуги;Любая
Продажи.Прочие услуги.УПАТС;Проверка тех. возможности;Любая
Продажи.Прочие услуги.Хостинг,эл.Почта;Подключение услуги;Любая
Продажи.Прочие услуги.Хостинг,эл.Почта;Проверка тех. возможности;Любая
Продажи.Прочие услуги.ЭДО;Подключение услуги;Любая
Продажи.Прочие услуги.ЭДО;Проверка тех. возможности;Любая
Продажи.Прочие услуги.e1;Подключение услуги;Любая
Продажи.Прочие услуги.e1;Проверка тех. возможности;Любая
Продажи.Прочие услуги.VPN;Подключение услуги;Любая
Продажи.Прочие услуги.VPN;Проверка тех. возможности;Любая
Продажи;Выберите;Выберите
Продажи;Интернет. Ожидание тех. возможности;Выберите
Продажи;Интернет. Ожидание тех. возможности;ETTH
Продажи;Интернет. Ожидание тех. возможности;xDSL
Продажи;Интернет. Ожидание тех. возможности;xPON
Продажи;Интернет. Определение тех. возможности;Выберите
Продажи;Интернет. Определение тех. возможности;ETTH
Продажи;Интернет. Определение тех. возможности;xDSL
Продажи;Интернет. Определение тех. возможности;xPON
Продажи;Интернет. Подкл. услуги;Выберите
Продажи;Интернет. Подкл. услуги;ETTH
Продажи;Интернет. Подкл. услуги;xDSL
Продажи;Интернет. Подкл. услуги;xPON
Продажи;Интернет. Проверка тех. возможности;Выберите
Продажи;Интернет. Проверка тех. возможности;ETTH
Продажи;Интернет. Проверка тех. возможности;xDSL
Продажи;Интернет. Проверка тех. возможности;xPON
Продажи;Мобильная связь;Выберите
Продажи;Мобильная связь;Не определено
Продажи;Мобильная связь;Подключение физ. лица
Продажи;Мобильная связь;Подключение юр. лица
Продажи;Оборудование СПС;Выберите
Продажи;Оборудование СПС;Продажа физ. лицу
Продажи;Оборудование СПС;Продажа юр. Лицу
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;Выберите
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;Спаренный
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;ETTH
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;ISDN
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;XDSL
Продажи;Пакет (ОТА, ШПД, IPTV) Опр. тех. возм.;xPON
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;Выберите
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;Основной
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;Спаренный
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;ETTH
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;ISDN
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;XDSL
Продажи;Пакет (ОТА, ШПД,IPTV) Подключение услуг;xPON
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;Выберите
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;Основной
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;Спаренный
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;ETTH
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;ISDN
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;XDSL
Продажи;Пакет (ОТА, ШПД) Ожидание тех. возм.;xPON
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;Выберите
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;Основной
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;Спаренный
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;ETTH
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;ISDN
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;XDSL
Продажи;Пакет (ОТА, ШПД) Определение тех. возм;xPON
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;Выберите
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;Основной
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;Спаренный
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;ETTH
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;ISDN
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;XDSL
Продажи;Пакет (ОТА, ШПД) Подкл. услуг;xPON
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;Выберите
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;Основной
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;Спаренный
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;ETTH
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;ISDN
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;XDSL
Продажи;Пакет (ОТА, ШПД) Проверка тех. возм;xPON
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;Выберите
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;Основной
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;Спаренный
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;ETTH
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;ISDN
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;SIP-телефон_ETTH
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;SIP-телефон_xDSL
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;SIP-телефон_xPON
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;XDSL
Продажи;Пакет (ОТА, IPTV) Ожидание тех. возм ;xPON
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;Основной
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;Спаренный
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;ETTH
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;ISDN
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;XDSL
Продажи;Пакет (ОТА, IPTV) Определение тех. возм;xPON
Продажи;Пакет (ОТА, IPTV) Подключение услуг;Выберите
Продажи;Пакет (ОТА, IPTV) Подключение услуг;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, IPTV) Подключение услуг;Основной
Продажи;Пакет (ОТА, IPTV) Подключение услуг;Спаренный
Продажи;Пакет (ОТА, IPTV) Подключение услуг;ETTH
Продажи;Пакет (ОТА, IPTV) Подключение услуг;ISDN
Продажи;Пакет (ОТА, IPTV) Подключение услуг;SIP-телефон_ETTH
Продажи;Пакет (ОТА, IPTV) Подключение услуг;SIP-телефон_xDSL
Продажи;Пакет (ОТА, IPTV) Подключение услуг;SIP-телефон_xPON
Продажи;Пакет (ОТА, IPTV) Подключение услуг;XDSL
Продажи;Пакет (ОТА, IPTV) Подключение услуг;xPON
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;Выберите
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;Основной
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;Спаренный
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;ETTH
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;ISDN
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;XDSL
Продажи;Пакет (ОТА, IPTV) Проверка тех. возм;xPON
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;Выберите
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;Основной
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;Спаренный
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;ETTH
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;ISDN
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;XDSL
Продажи;Пакет (ОТА,ШПД,IPTV) Ожидание тех. возм;xPON
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;Выберите
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;Основной
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;Спаренный
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;ETTH
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;ISDN
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;SIP-телефон_xPON
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;XDSL
Продажи;Пакет (ОТА,ШПД,IPTV) Проверка тех. возм;xPON
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;Выберите
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;Основной
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;Спаренный
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;ETTH
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;ISDN
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;SIP-телефон_xPON
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;xDSL
Продажи;Пакет (ШПД, IPTV) Ожидание тех. возм;xPON
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;Выберите
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;Основной
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;Спаренный
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;ETTH
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;ISDN
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;SIP-телефон_xPON
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;xDSL
Продажи;Пакет (ШПД, IPTV) Определение тех. возм;xPON
Продажи;Пакет (ШПД, IPTV) Подключение услуг;Выберите
Продажи;Пакет (ШПД, IPTV) Подключение услуг;Дополнительный (для переадр.)
Продажи;Пакет (ШПД, IPTV) Подключение услуг;Основной
Продажи;Пакет (ШПД, IPTV) Подключение услуг;Спаренный
Продажи;Пакет (ШПД, IPTV) Подключение услуг;ETTH
Продажи;Пакет (ШПД, IPTV) Подключение услуг;ISDN
Продажи;Пакет (ШПД, IPTV) Подключение услуг;SIP-телефон_ETTH
Продажи;Пакет (ШПД, IPTV) Подключение услуг;SIP-телефон_xDSL
Продажи;Пакет (ШПД, IPTV) Подключение услуг;SIP-телефон_xPON
Продажи;Пакет (ШПД, IPTV) Подключение услуг;xDSL
Продажи;Пакет (ШПД, IPTV) Подключение услуг;xPON
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;Выберите
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;Дополнительный (для переадр.)
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;Основной
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;Спаренный
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;ETTH
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;ISDN
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;SIP-телефон_ETTH
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;SIP-телефон_xDSL
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;SIP-телефон_xPON
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;xDSL
Продажи;Пакет (ШПД, IPTV) Проверка тех. возм;xPON
Продажи;Предложение на изменение;Выберите
Продажи;Предложение на изменение;Пакет (ОТА+ШПД)
Продажи;Предложение на изменение;Пакет (ОТА+ШПД+IPTV)
Продажи;Предложение на изменение;Пакет (ОТА+IPTV)
Продажи;Предложение на изменение;Пакет (ШПД +IPTV)
Продажи;Предложение на изменение;xDSL
Продажи;Предложение на изменение;xPON
Продажи;Тел. Проверка тех. возможности;Выберите
Продажи;Тел. Проверка тех. возможности;Дополнительный (для переадр.)
Продажи;Тел. Проверка тех. возможности;Основной
Продажи;Тел. Проверка тех. возможности;Спаренный
Продажи;Тел. Проверка тех. возможности;ISDN
Продажи;Тел. Проверка тех. возможности;SIP-телефон_ETTH
Продажи;Тел. Проверка тех. возможности;SIP-телефон_xDSL
Продажи;Тел. Проверка тех. возможности;SIP-телефон_xPON
Продажи;Телефония. Ожидание тех.возможности;Выберите
Продажи;Телефония. Ожидание тех.возможности;Дополнительный (для переадр.)
Продажи;Телефония. Ожидание тех.возможности;Основной
Продажи;Телефония. Ожидание тех.возможности;Спаренный
Продажи;Телефония. Ожидание тех.возможности;ISDN
Продажи;Телефония. Ожидание тех.возможности;SIP-телефон_ETTH
Продажи;Телефония. Ожидание тех.возможности;SIP-телефон_xDSL
Продажи;Телефония. Ожидание тех.возможности;SIP-телефон_xPON
Продажи;Телефония. Определение тех.возможности;Выберите
Продажи;Телефония. Определение тех.возможности;Дополнительный (для переадр.)
Продажи;Телефония. Определение тех.возможности;Основной
Продажи;Телефония. Определение тех.возможности;Спаренный
Продажи;Телефония. Определение тех.возможности;ISDN
Продажи;Телефония. Определение тех.возможности;SIP-телефон_ETTH
Продажи;Телефония. Определение тех.возможности;SIP-телефон_xDSL
Продажи;Телефония. Определение тех.возможности;SIP-телефон_xPON
Продажи;Телефония. Подкл. услуги;Выберите
Продажи;Телефония. Подкл. услуги;Дополнительный (для переадр.)
Продажи;Телефония. Подкл. услуги;Основной
Продажи;Телефония. Подкл. услуги;Спаренный
Продажи;Телефония. Подкл. услуги;ISDN
Продажи;Телефония. Подкл. услуги;SIP-телефон_ETTH
Продажи;Телефония. Подкл. услуги;SIP-телефон_xDSL
Продажи;Телефония. Подкл. услуги;SIP-телефон_xPON
Продажи;IPTV. Ожидание тех. возможности;Выберите
Продажи;IPTV. Ожидание тех. возможности;ETTH
Продажи;IPTV. Ожидание тех. возможности;xDSL
Продажи;IPTV. Ожидание тех. возможности;xPON
Продажи;IPTV. Определение тех. возможности;Выберите
Продажи;IPTV. Определение тех. возможности;ETTH
Продажи;IPTV. Определение тех. возможности;xDSL
Продажи;IPTV. Определение тех. возможности;xPON
Продажи;IPTV. Подкл. услуги;Выберите
Продажи;IPTV. Подкл. услуги;ETTH
Продажи;IPTV. Подкл. услуги;xDSL
Продажи;IPTV. Подкл. услуги;xPON
Продажи;IPTV.Проверка тех. возможности;Выберите
Продажи;IPTV.Проверка тех. возможности;ETTH
Продажи;IPTV.Проверка тех. возможности;xDSL
Продажи;IPTV.Проверка тех. возможности;xPON
Продвижение услуг;ЕЛК/МЛК. Самообслуживание;Создать УЗ/Присоединить услуги
Прочие запросы;Выберите;Выберите
Прочие запросы;Департамент правового обеспечения;Выберите
Прочие запросы;Департамент правового обеспечения;Правовая консультация
Прочие запросы;Департамент правового обеспечения;Согласование ответа
Прочие запросы;Служба безопасности;Выберите
Прочие запросы;Служба безопасности;Запрос по оспариваемому трафику
Прочие запросы;Служба безопасности;Подписка на услуги портала Забава
Прочие запросы;Служба безопасности;Подписка на услуги портала Интеракт. ТВ
Прочие запросы;Тех. Блок;Не определено
Расчетное обслуживание;Активация карты оплаты;Поврежденный секретный код
Расчетное обслуживание;Активация карты оплаты;Разблокировка карты
Расчетное обслуживание;Бонусная программа;Корректировка баллов
Расчетное обслуживание;Взыскание ДЗ с ФЛ;Выберите
Расчетное обслуживание;Взыскание ДЗ с ФЛ;Изменить/удалить контактный номер
Расчетное обслуживание;Взыскание ДЗ с ФЛ;Отзыв из работы коллектора
Расчетное обслуживание;Взыскание ДЗ с ФЛ;Отзыв из работы Цессионария
Расчетное обслуживание;Взыскание ДЗ с ФЛ;Прочие запросы
Расчетное обслуживание;Включение после оплаты задолженности;Включить интернет
Расчетное обслуживание;Включение после оплаты задолженности;Включить МГ/МН
Расчетное обслуживание;Включение после оплаты задолженности;Включить ОТА
Расчетное обслуживание;Включение после оплаты задолженности;Выберите
Расчетное обслуживание;Включение после оплаты задолженности;Подключить услугу(и)
Расчетное обслуживание;Возврат денежных средств;Безналичный возврат
Расчетное обслуживание;Возврат денежных средств;Выберите
